id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"3zwMVvkBe2qIKDObWgXw4N","right where you left me",0,"evermore (deluxe version)",9,0,0,1,0,0
"1kdWw77ZpYOkhxeuhzU1j6","it's time to go",0,"evermore (deluxe version)",9,0,0,1,0,0
"77sMIMlNaSURUAXq5coCxE","Fearless (Taylor's Version)",71,"Fearless (Taylor's Version)",10,0,0,0,0,1
"2nqio0SfWg6gh2eCtfuMa5","Fifteen (Taylor's Version)",88,"Fearless (Taylor's Version)",10,0,0,0,0,1
"6YvqWjhGD8mB5QXcbcUKtx","Love Story (Taylor's Version)",11,"Fearless (Taylor's Version)",10,0,1,0,0,1
"550erGcdD9n6PnwxrvYqZT","Hey Stephen (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"5YL553x8sHderRBDlm3NM3","White Horse (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"1qrpoAMXodY6895hGKoUpA","You Belong With Me (Taylor's Version)",75,"Fearless (Taylor's Version)",10,0,0,0,0,1
"7HC7R2D8WjXVcUHJyEGjRs","Breathe (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"0k0vFacOHNuArLWMiH60p7","Tell Me Why (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"6iiAfo4wTA2CVC3Uwx9uh8","You're Not Sorry (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"22bPsP2jCgbLUvh82U0Z3M","The Way I Loved You (Taylor's Version)",94,"Fearless (Taylor's Version)",10,0,0,0,0,1
"1msEuwSBneBKpVCZQcFTsU","Forever & Always (Taylor's Version)",65,"Fearless (Taylor's Version)",10,0,0,0,0,1
"6ON9UuIq49xXY9GPmHIYRp","The Best Day (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"3ExweHKZF9B752DPQByRVT","Change (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"2m3ObD945KvpE5y9A1eUWm","Jump Then Fall (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
